school_name,address,postal_code,lat,lon,mainlevel_code,type_code,zone_code,dgp_code,sap_ind,autonomous_ind,gifted_ind
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1   ,538882,1.35790893589535,103.890472887906,PRIMARY,GOVERNMENT SCHOOL,SOUTH,HOUGANG,No,No,No
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,649036,1.34254744877694,103.687950252103,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,1.37139548941931,103.883080767491,PRIMARY,GOVERNMENT SCHOOL,NORTH,HOUGANG,No,No,No
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8   ,538789,1.37255884700002,103.88305161385,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,HOUGANG,No,Yes,No
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,768611,1.43347186925064,103.837755319448,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,556108,1.34864575840923,103.868595527042,PRIMARY,GOVERNMENT SCHOOL,SOUTH,SERANGOON,No,No,No
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64   ,689100,1.39676600905037,103.750985967346,PRIMARY,GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51   ,538720,1.37793264345276,103.885643682171,PRIMARY,GOVERNMENT SCHOOL,NORTH,HOUGANG,No,No,No
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5   ,569868,1.37797597740925,103.84213696352,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD   ,768675,1.42426692572335,103.83003171149,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD   ,768679,1.43338602975674,103.834087115915,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71   ,768516,1.42813324276086,103.828764316679,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21   ,768610,1.43232156717386,103.838094226361,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,YISHUN,No,Yes,No
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,469623,1.33388930344069,103.932144857355,PRIMARY,GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD   ,618654,1.34200635764467,103.72089870437,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24   ,609558,1.34280230475033,103.741105772644,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG EAST,No,No,No
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41   ,649406,1.34718626876968,103.722687235839,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21   ,529393,1.35129177656981,103.950461927088,PRIMARY,GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
YUSOF ISHAK SECONDARY SCHOOL,8 SUMANG WALK   ,828676,1.40693702458178,103.896275149571,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1   ,538884,1.35713595302467,103.890194755287,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,HOUGANG,No,No,No
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina   ,169485,1.28421153335379,103.825951875662,PRIMARY,GOVERNMENT SCHOOL,SOUTH,BUKIT MERAH,No,No,No
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,679002,1.37954887512229,103.769313521752,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
ZHENGHUA SECONDARY SCHOOL,62 Bukit Panjang Ring Road   ,679962,1.38836583415352,103.765510638527,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4   ,556095,1.36020329705047,103.869762438084,PRIMARY,GOVERNMENT SCHOOL,SOUTH,SERANGOON,No,No,No
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3   ,556123,1.34840720846208,103.869430481414,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,SERANGOON,No,Yes,No
