quarter,market_segment,completion_status,launch_status,pre_requisites_status,units
2020-Q3,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1413
2020-Q3,Core Central Region,Uncompleted,na,Without Pre-Requisites,2998
2020-Q3,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3303
2020-Q3,Outside Central Region,Completed,na,na,6
2020-Q3,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1821
2020-Q3,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2010
2020-Q3,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,4728
2020-Q3,Rest of Central Region,Completed,na,na,56
2020-Q3,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,2119
2020-Q3,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,4462
2020-Q3,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3629
2020-Q4,Core Central Region,Completed,na,na,29
2020-Q4,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1378
2020-Q4,Core Central Region,Uncompleted,na,Without Pre-Requisites,2381
2020-Q4,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3936
2020-Q4,Outside Central Region,Completed,na,na,9
2020-Q4,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,2814
2020-Q4,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2005
2020-Q4,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2383
2020-Q4,Rest of Central Region,Completed,na,na,7
2020-Q4,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1934
2020-Q4,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,2439
2020-Q4,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5026
2021-Q1,Core Central Region,Completed,na,na,29
2021-Q1,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1413
2021-Q1,Core Central Region,Uncompleted,na,Without Pre-Requisites,1389
2021-Q1,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,4271
2021-Q1,Outside Central Region,Completed,na,na,1
2021-Q1,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,2444
2021-Q1,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2558
2021-Q1,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1803
2021-Q1,Rest of Central Region,Completed,na,na,2
2021-Q1,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,2677
2021-Q1,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,2513
2021-Q1,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2534
2021-Q2,Core Central Region,Completed,na,na,22
2021-Q2,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1636
2021-Q2,Core Central Region,Uncompleted,na,Without Pre-Requisites,1966
2021-Q2,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3237
2021-Q2,Outside Central Region,Completed,na,na,1
2021-Q2,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,2209
2021-Q2,Outside Central Region,Uncompleted,na,Without Pre-Requisites,1619
2021-Q2,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2011
2021-Q2,Rest of Central Region,Completed,na,na,2
2021-Q2,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,2212
2021-Q2,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,2423
2021-Q2,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2071
2021-Q3,Core Central Region,Completed,na,na,6
2021-Q3,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1643
2021-Q3,Core Central Region,Uncompleted,na,Without Pre-Requisites,2246
2021-Q3,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2991
2021-Q3,Outside Central Region,Completed,na,na,7
2021-Q3,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1643
2021-Q3,Outside Central Region,Uncompleted,na,Without Pre-Requisites,1875
2021-Q3,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,864
2021-Q3,Rest of Central Region,Completed,na,na,12
2021-Q3,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1591
2021-Q3,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,1642
2021-Q3,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2645
2021-Q4,Core Central Region,Completed,na,na,106
2021-Q4,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1671
2021-Q4,Core Central Region,Uncompleted,na,Without Pre-Requisites,1818
2021-Q4,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2387
2021-Q4,Outside Central Region,Completed,na,na,62
2021-Q4,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1051
2021-Q4,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2220
2021-Q4,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,701
2021-Q4,Rest of Central Region,Completed,na,na,11
2021-Q4,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1544
2021-Q4,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,1251
2021-Q4,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1511
2022-Q1,Core Central Region,Completed,na,na,196
2022-Q1,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1490
2022-Q1,Core Central Region,Uncompleted,na,Without Pre-Requisites,1961
2022-Q1,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2134
2022-Q1,Outside Central Region,Completed,na,na,56
2022-Q1,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,705
2022-Q1,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2641
2022-Q1,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,544
2022-Q1,Rest of Central Region,Completed,na,na,23
2022-Q1,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1009
2022-Q1,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,1993
2022-Q1,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1610
2022-Q2,Core Central Region,Completed,na,na,200
2022-Q2,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1613
2022-Q2,Core Central Region,Uncompleted,na,Without Pre-Requisites,2954
2022-Q2,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1469
2022-Q2,Outside Central Region,Completed,na,na,53
2022-Q2,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,517
2022-Q2,Outside Central Region,Uncompleted,na,Without Pre-Requisites,3040
2022-Q2,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,829
2022-Q2,Rest of Central Region,Completed,na,na,21
2022-Q2,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,699
2022-Q2,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,4012
2022-Q2,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,672
2022-Q3,Core Central Region,Completed,na,na,48
2022-Q3,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1350
2022-Q3,Core Central Region,Uncompleted,na,Without Pre-Requisites,2993
2022-Q3,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1338
2022-Q3,Outside Central Region,Completed,na,na,42
2022-Q3,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,384
2022-Q3,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2721
2022-Q3,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,312
2022-Q3,Rest of Central Region,Completed,na,na,10
2022-Q3,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,399
2022-Q3,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,5565
2022-Q3,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,615
2022-Q4,Core Central Region,Completed,na,na,45
2022-Q4,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1332
2022-Q4,Core Central Region,Uncompleted,na,Without Pre-Requisites,3179
2022-Q4,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1167
2022-Q4,Outside Central Region,Completed,na,na,73
2022-Q4,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,307
2022-Q4,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2455
2022-Q4,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,910
2022-Q4,Rest of Central Region,Completed,na,na,10
2022-Q4,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,291
2022-Q4,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,4894
2022-Q4,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1489
2023-Q1,Core Central Region,Completed,na,na,165
2023-Q1,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1003
2023-Q1,Core Central Region,Uncompleted,na,Without Pre-Requisites,2777
2023-Q1,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1064
2023-Q1,Outside Central Region,Completed,na,na,31
2023-Q1,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,554
2023-Q1,Outside Central Region,Uncompleted,na,Without Pre-Requisites,3215
2023-Q1,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,852
2023-Q1,Rest of Central Region,Completed,na,na,16
2023-Q1,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,625
2023-Q1,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,4175
2023-Q1,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1987
2023-Q2,Core Central Region,Completed,na,na,386
2023-Q2,Core Central Region,Uncompleted,Launched,With Pre-Requisites,523
2023-Q2,Core Central Region,Uncompleted,na,Without Pre-Requisites,3792
2023-Q2,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,984
2023-Q2,Outside Central Region,Completed,na,na,20
2023-Q2,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,505
2023-Q2,Outside Central Region,Uncompleted,na,Without Pre-Requisites,4812
2023-Q2,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1549
2023-Q2,Rest of Central Region,Completed,na,na,34
2023-Q2,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1260
2023-Q2,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,1539
2023-Q2,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2520
2023-Q3,Core Central Region,Completed,na,na,357
2023-Q3,Core Central Region,Uncompleted,Launched,With Pre-Requisites,485
2023-Q3,Core Central Region,Uncompleted,na,Without Pre-Requisites,4884
2023-Q3,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,774
2023-Q3,Outside Central Region,Completed,na,na,2
2023-Q3,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,898
