quarter,res_completion_status,market_segment,units
2023-Q4,Uncompleted Private Residential,Rest of Central Region,232
2024-Q1,Uncompleted Private Residential,Core Central Region,71
2024-Q1,Uncompleted Private Residential,Outside Central Region,822
2024-Q1,Uncompleted Private Residential,Rest of Central Region,231
2024-Q2,Uncompleted Private Residential,Core Central Region,61
2024-Q2,Uncompleted Private Residential,Outside Central Region,414
2024-Q2,Uncompleted Private Residential,Rest of Central Region,230
2024-Q3,Uncompleted Private Residential,Core Central Region,42
2024-Q3,Uncompleted Private Residential,Outside Central Region,715
2024-Q3,Uncompleted Private Residential,Rest of Central Region,383
2024-Q4,Uncompleted Private Residential,Core Central Region,126
2024-Q4,Uncompleted Private Residential,Outside Central Region,1421
2024-Q4,Uncompleted Private Residential,Rest of Central Region,1857
2025-Q1,Uncompleted Private Residential,Core Central Region,169
2025-Q1,Uncompleted Private Residential,Outside Central Region,2237
2025-Q1,Uncompleted Private Residential,Rest of Central Region,945
2025-Q2,Uncompleted Private Residential,Core Central Region,37
2025-Q2,Uncompleted Private Residential,Outside Central Region,266
2025-Q2,Uncompleted Private Residential,Rest of Central Region,901
2025-Q3,Uncompleted Private Residential,Core Central Region,903
2025-Q3,Uncompleted Private Residential,Outside Central Region,1284
2025-Q3,Uncompleted Private Residential,Rest of Central Region,1090
2025-Q4,Uncompleted Private Residential,Core Central Region,758
2025-Q4,Uncompleted Private Residential,Outside Central Region,614
2025-Q4,Uncompleted Private Residential,Rest of Central Region,1537
2026-Q1,Uncompleted Private Residential,Core Central Region,684
2026-Q1,Uncompleted Private Residential,Outside Central Region,911
2026-Q1,Uncompleted Private Residential,Rest of Central Region,392
2026-Q2,Uncompleted Private Residential,Core Central Region,64
2026-Q2,Uncompleted Private Residential,Outside Central Region,1492
2026-Q2,Uncompleted Private Residential,Rest of Central Region,569
